name,author,website
"Reckless","Arseniy Surkov, Shahin M. Shahin, Styx","https://github.com/codedeliveryservice/Reckless"
"Obsidian","Gabriele Lombardo","https://github.com/gab8192/Obsidian"
"PlentyChess","Patrick Leonhardt","https://github.com/Yoshie2000/PlentyChess"
"Stockfish","The Stockfish developers","https://github.com/official-stockfish/Stockfish"
"Berserk","Jay Honnold","https://github.com/jhonnold/berserk"
"Alexandria","Zuppa, CJ and Contributors","https://github.com/PGG106/Alexandria"
"Caissa","Michal Witanowski","https://github.com/Witek902/Caissa"
"Clover","Luca Metehau","https://github.com/lucametehau/CloverEngine"
"Integral","Aron Petkovski","https://github.com/aronpetko/integral"
"Viridithas","Cosmo","https://github.com/cosmobobak/viridithas"
"Quanticade","DarkNeutrino","https://github.com/Quanticade/Quanticade"
"Stormphrax","Ciekce","https://github.com/Ciekce/Stormphrax"
"Horsie","Liam McGuire","https://github.com/liamt19/Horsie"
"Pawnocchio","Jonathan Hallström","https://github.com/JonathanHallstrom/pawnocchio"
